ID,timestamp,timediff,X1,X2,X5,X7,X8
2622,11521,0,36.47,30.63,36.15,36.15,36.31
3990,11521,0,36.47,30.63,36.15,36.15,36.31
5353,11521,0,36.47,30.63,36.15,36.15,36.31
1368,11521,0,36.47,30.63,36.15,36.15,36.31
1,11523,0,36.47,30.63,36.15,36.15,36.31
2623,11531,10,35.52,31.11,36.62,36.31,36.15
1369,11531,10,35.52,31.11,36.62,36.31,36.15
3991,11531,10,35.52,31.11,36.62,36.31,36.15
5354,11532,11,35.52,31.11,36.62,36.31,36.15
2,11533,10,35.52,31.11,36.62,36.31,36.15
3992,11541,10,35.68,30.63,36.15,35.99,35.84
2624,11541,10,35.68,30.63,36.15,35.99,35.84
1370,11541,10,35.68,30.63,36.15,35.99,35.84
5355,11542,10,35.68,30.63,36.15,35.99,35.84
3,11543,10,35.68,30.63,36.15,35.99,35.84
1371,11552,11,35.84,30.79,36.36504253878135,35.99115103346986,35.87951814084486
4,11553,10,35.84,30.79,36.39035108002013,36.01531022646777,35.93704208825558
1372,11562,10,35.99,30.63,36.31,36.15,35.99
3994,11562,10,35.99,30.63,36.31,36.15,35.99
5357,11562,10,35.99,30.63,36.31,36.15,35.99
2626,11562,10,35.99,30.63,36.31,36.15,35.99
5,11564,11,35.99,30.63,36.31,36.15,35.99
1373,11572,10,36.15,30.63,36.15,35.99,35.84
3995,11572,10,36.15,30.63,36.15,35.99,35.84
2627,11572,10,36.15,30.63,36.15,35.99,35.84
5358,11573,11,36.15,30.63,36.15,35.99,35.84
6,11574,10,36.15,30.63,36.15,35.99,35.84
3996,11582,10,36.15,30.32,36.15,35.99,36.47
2628,11582,10,36.15,30.32,36.15,35.99,36.47
1374,11582,10,36.15,30.32,36.15,35.99,36.47
5359,11583,10,36.15,30.32,36.15,35.99,36.47
7,11584,10,36.15,30.32,36.15,35.99,36.47
5360,11593,10,35.99,30.47,36.47,35.84,35.68
1375,11593,11,35.99,30.47,36.47,35.84,35.68
2629,11593,11,35.99,30.47,36.47,35.84,35.68
3997,11593,11,35.99,30.47,36.47,35.84,35.68
8,11594,10,35.99,30.47,36.47,35.84,35.68
